year,sideA,sideB,weight,agression
2018,la familia michoacan cartel,self-defense group (mexico),3,5.267858159063328
2018,la familia michoacan cartel,self-defense group (mexico),3,5.267858159063328
2018,la familia michoacan cartel,self-defense group (mexico),3,5.267858159063328
2021,cartel jalisco nueva generacion,sinaloa cartel,360,12.442199547202511
2021,cartel jalisco nueva generacion,sinaloa cartel,360,12.442199547202511
2020,cartel jalisco nueva generacion,sinaloa cartel,360,12.442199547202511
2020,cartel jalisco nueva generacion,sinaloa cartel,360,12.442199547202511
2020,cartel jalisco nueva generacion,sinaloa cartel,360,12.442199547202511
2019,la union tepito,sinaloa cartel,1,2.0794415416798357
2021,sinaloa cartel,sinaloa cartel,3,8.640118538253535
2019,sinaloa cartel,sinaloa cartel,3,8.640118538253535
2020,cartel jalisco nueva generacion,tangancicuaro communal militia (mexico),1,12.442199547202511
2020,apetlanca communal militia (mexico),tenquizolco communal militia (mexico),1,0
2021,cartel jalisco nueva generacion,tepalcatepec communal militia (mexico),4,12.442199547202511
2020,cartel jalisco nueva generacion,tepalcatepec communal militia (mexico),4,12.442199547202511
2020,cartel jalisco nueva generacion,tepalcatepec communal militia (mexico),4,12.442199547202511
2020,cartel jalisco nueva generacion,tepalcatepec communal militia (mexico),4,12.442199547202511
2018,sinaloa cartel,tijuana cartel,53,8.640118538253535
2020,cartel jalisco nueva generacion,tinguindin communal militia (mexico),1,12.442199547202511
2020,cartel del sur,tlacotepec communal militia (mexico),1,0
2020,cartel jalisco nueva generacion,tocumbo communal militia (mexico),1,12.442199547202511
2020,cartel jalisco nueva generacion,villa morelos communal militia (mexico),1,12.442199547202511
2021,cartel jalisco nueva generacion,villa victoria communal militia (mexico),2,12.442199547202511
2020,cartel jalisco nueva generacion,villa victoria communal militia (mexico),2,12.442199547202511
2020,rio santiago communal militia (mexico),xochiltepec communal militia (mexico),1,0
2018,yautepec communal militia (mexico),yautepec communal militia (mexico),1,0
2012,los zetas,gulf cartel,1,8.299285906897275
2012,los zetas,sinaloa cartel,63,8.299285906897275
2012,sinaloa cartel,beltran leyva cartel,1,8.640118538253535
2014,cartel jalisco nueva generacion,los zetas,266,12.442199547202511
2014,gulf cartel,los zetas,207,10.666137474577225
2015,upoeg self defense group,faction of front for security and development vigilante group,1,0
2015,gulf cartel,tamaulipas security force,1,10.666137474577225
2015,faction of front for security and development vigilante group,rival faction of the front for security and development,1,0.6931471805599453
2016,los zetas,los zetas,1,8.299285906897275
2016,cartel jalisco nueva generacion,los zetas,266,12.442199547202511
2016,cartel jalisco nueva generacion,sinaloa cartel,360,12.442199547202511
2016,faction of front for security and development vigilante group,upoeg self defense group,1,0.6931471805599453
2016,totolapan self-defense force,los tequileros,1,0
2017,sinaloa cartel,rival sinaloa cartel leaders,1,8.640118538253535
2017,cartel jalisco nueva generacion,cartel jalisco nueva generacion,1,12.442199547202511
2017,gulf cartel,rival gulf cartel faction,1,10.666137474577225
2017,la linea gang,faction of the sinaloa cartel,1,2.0794415416798357
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2012,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
