"year","country","v2lgqugen","v2xeg_eqprotec","regime_type","v2elloelsy","Actor1Type","Target1Type","EventViolence"
2001,"Albania",0,0.629,5,6,2,1,1
2001,"Albania",0,0.629,5,6,2,2,1
2001,"Albania",0,0.629,5,6,2,2,1
2001,"Albania",0,0.629,5,6,2,1,1
2005,"Albania",0,0.629,9,6,3,3,1
2009,"Albania",3,0.629,9,8,2,1,0
2009,"Albania",3,0.629,9,8,3,1,0
1991,"Algeria",0,0.72,-2,1,2,1,1
1991,"Algeria",0,0.72,-2,1,2,1,1
1991,"Algeria",0,0.72,-2,1,2,1,1
1991,"Algeria",0,0.72,-2,1,1,2,0
1991,"Algeria",0,0.72,-2,1,2,1,1
1991,"Algeria",0,0.72,-2,1,1,2,0
1991,"Algeria",0,0.72,-2,1,1,2,0
1991,"Algeria",0,0.72,-2,1,2,1,1
1991,"Algeria",0,0.72,-2,1,2,1,1
1991,"Algeria",0,0.72,-2,1,2,1,1
1991,"Algeria",0,0.72,-2,1,1,3,1
1991,"Algeria",0,0.72,-2,1,1,3,1
1991,"Algeria",0,0.72,-2,1,2,1,0
1991,"Algeria",0,0.72,-2,1,1,2,0
1991,"Algeria",0,0.72,-2,1,2,1,1
1991,"Algeria",0,0.72,-2,1,1,2,0
1991,"Algeria",0,0.72,-2,1,1,3,0
1991,"Algeria",0,0.72,-2,1,1,2,0
1991,"Algeria",0,0.72,-2,1,1,2,0
1991,"Algeria",0,0.72,-2,1,3,1,1
1991,"Algeria",0,0.72,-2,1,3,1,1
1991,"Algeria",0,0.72,-2,1,3,1,1
1991,"Algeria",0,0.72,-2,1,1,3,0
1991,"Algeria",0,0.72,-2,1,2,1,1
1991,"Algeria",0,0.72,-2,1,1,2,1
1991,"Algeria",0,0.72,-2,1,3,1,0
1991,"Algeria",0,0.72,-2,1,1,3,0
1991,"Algeria",0,0.72,-2,1,2,1,0
1991,"Algeria",0,0.72,-2,1,3,1,0
1991,"Algeria",0,0.72,-2,1,1,3,0
1991,"Algeria",0,0.72,-2,1,3,1,0
1991,"Algeria",0,0.72,-2,1,2,1,1
1991,"Algeria",0,0.72,-2,1,2,1,1
1991,"Algeria",0,0.72,-2,1,2,1,1
1991,"Algeria",0,0.72,-2,1,1,3,0
1991,"Algeria",0,0.72,-2,1,1,3,0
1991,"Algeria",0,0.72,-2,1,3,3,0
1991,"Algeria",0,0.72,-2,1,3,2,0
1991,"Algeria",0,0.72,-2,1,3,2,0
1992,"Algeria",0,0.72,-2,1,2,3,0
1992,"Algeria",0,0.72,-2,1,1,2,0
1992,"Algeria",0,0.72,-2,1,3,3,0
1992,"Algeria",0,0.72,-2,1,3,3,0
1992,"Algeria",0,0.72,-2,1,2,3,0
1992,"Algeria",0,0.72,-2,1,1,3,0
1992,"Algeria",0,0.72,-2,1,1,2,0
1992,"Algeria",0,0.72,-2,1,1,2,0
1992,"Algeria",0,0.72,-2,1,1,2,0
1992,"Algeria",0,0.72,-2,1,1,2,0
1992,"Algeria",0,0.72,-2,1,1,2,0
1992,"Algeria",0,0.72,-2,1,1,2,0
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,1,2,0
1992,"Algeria",0,0.72,-2,1,1,2,0
1992,"Algeria",0,0.72,-2,1,1,2,0
1992,"Algeria",0,0.72,-2,1,1,2,0
1992,"Algeria",0,0.72,-2,1,1,2,0
1992,"Algeria",0,0.72,-2,1,1,2,0
1992,"Algeria",0,0.72,-2,1,1,3,0
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,0
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,0
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,1,3,0
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,0
1992,"Algeria",0,0.72,-2,1,2,1,1
